,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @AMIT_GUJJU: Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","RT  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","RT  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…",  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…,"['Alt', 'News', 'App', 'requirs', 'location', 'storage', 'camera', 'telephone', 'permission', 'Aarogya', 'Setu', 'App', 'Location', 'Permission…']"
1,"RT @AMIT_GUJJU: Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","RT  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","RT  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…",  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…,"['Alt', 'News', 'App', 'requirs', 'location', 'storage', 'camera', 'telephone', 'permission', 'Aarogya', 'Setu', 'App', 'Location', 'Permission…']"
2,"RT @desi_kaptaan: @free_thinker Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Loca…","RT   Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Loca…","RT   Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Loca…","   Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Loca…",   Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Loca…,"['Alt', 'News', 'App', 'requirs', 'location', 'storage', 'camera', 'telephone', 'permission', 'Aarogya', 'Setu', 'App', 'Loca…']"
3,"RT @attomeybharti: 1. Stalker Sinha on Aarogya Setu

2. Stalker Sinha’s own app https://t.co/0FROJjzzB8","RT  1. Stalker Sinha on Aarogya Setu

2. Stalker Sinha’s own app https://t.co/0FROJjzzB8","RT  1. Stalker Sinha on Aarogya Setu

2. Stalker Sinha’s own app ","  . Stalker Sinha on Aarogya Setu

. Stalker Sinha’s own app ","   Stalker Sinha on Aarogya Setu

 Stalker Sinha’s own app ","['Stalker', 'Sinha', 'Aarogya', 'Setu', 'Stalker', 'Sinha’s', 'app']"
4,"RT @AMIT_GUJJU: Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","RT  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","RT  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…",  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…,"['Alt', 'News', 'App', 'requirs', 'location', 'storage', 'camera', 'telephone', 'permission', 'Aarogya', 'Setu', 'App', 'Location', 'Permission…']"
5,"RT @AMIT_GUJJU: Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","RT  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","RT  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…",  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…,"['Alt', 'News', 'App', 'requirs', 'location', 'storage', 'camera', 'telephone', 'permission', 'Aarogya', 'Setu', 'App', 'Location', 'Permission…']"
6,"RT @AMIT_GUJJU: Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","RT  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","RT  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…",  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…,"['Alt', 'News', 'App', 'requirs', 'location', 'storage', 'camera', 'telephone', 'permission', 'Aarogya', 'Setu', 'App', 'Location', 'Permission…']"
7,"RT @AMIT_GUJJU: Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","RT  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","RT  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…","  Alt News App requirs location, storage, camera and telephone permission but Aarogya Setu App with just Location Permission…",  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…,"['Alt', 'News', 'App', 'requirs', 'location', 'storage', 'camera', 'telephone', 'permission', 'Aarogya', 'Setu', 'App', 'Location', 'Permission…']"
8,"RT @attomeybharti: 1. Stalker Sinha on Aarogya Setu

2. Stalker Sinha’s own app https://t.co/0FROJjzzB8","RT  1. Stalker Sinha on Aarogya Setu

2. Stalker Sinha’s own app https://t.co/0FROJjzzB8","RT  1. Stalker Sinha on Aarogya Setu

2. Stalker Sinha’s own app ","  . Stalker Sinha on Aarogya Setu

. Stalker Sinha’s own app ","   Stalker Sinha on Aarogya Setu

 Stalker Sinha’s own app ","['Stalker', 'Sinha', 'Aarogya', 'Setu', 'Stalker', 'Sinha’s', 'app']"
9,"RT @attomeybharti: 1. Stalker Sinha on Aarogya Setu

2. Stalker Sinha’s own app https://t.co/0FROJjzzB8","RT  1. Stalker Sinha on Aarogya Setu

2. Stalker Sinha’s own app https://t.co/0FROJjzzB8","RT  1. Stalker Sinha on Aarogya Setu

2. Stalker Sinha’s own app ","  . Stalker Sinha on Aarogya Setu

. Stalker Sinha’s own app ","   Stalker Sinha on Aarogya Setu

 Stalker Sinha’s own app ","['Stalker', 'Sinha', 'Aarogya', 'Setu', 'Stalker', 'Sinha’s', 'app']"
