,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,RT  Adidas Originals https://t.co/SyzLyaKf59,RT  Adidas Originals ,  Adidas Originals ,  Adidas Originals ,"['Adidas', 'Originals']"
1,"I have 3 old pairs of stinky and dirty shoes up for sale
50$ - converse
50$ - Adidas
20$ - pimkie
Wouldn't you love… https://t.co/HDxoe4zQlu","I have 3 old pairs of stinky and dirty shoes up for sale
50$ - converse
50$ - Adidas
20$ - pimkie
Wouldn't you love… https://t.co/HDxoe4zQlu","I have 3 old pairs of stinky and dirty shoes up for sale
50$ - converse
50$ - Adidas
20$ - pimkie
Wouldn't you love… ","I have  old pairs of stinky and dirty shoes up for sale
$ - converse
$ - Adidas
$ - pimkie
Wouldn't you love… ","I have  old pairs of stinky and dirty shoes up for sale
  converse
  Adidas
  pimkie
Wouldnt you love… ","['I', 'old', 'pairs', 'stinky', 'dirty', 'shoes', 'sale', 'converse', 'Adidas', 'pimkie', 'Wouldnt', 'love…']"
2,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,RT  Adidas Originals https://t.co/SyzLyaKf59,RT  Adidas Originals ,  Adidas Originals ,  Adidas Originals ,"['Adidas', 'Originals']"
3,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,RT  Adidas Originals https://t.co/SyzLyaKf59,RT  Adidas Originals ,  Adidas Originals ,  Adidas Originals ,"['Adidas', 'Originals']"
4,RT @mohaesus: the said “adidas nation rise” https://t.co/pMakSZ4qo9,RT  the said “adidas nation rise” https://t.co/pMakSZ4qo9,RT  the said “adidas nation rise” ,  the said “adidas nation rise” ,  the said “adidas nation rise” ,"['said', '“adidas', 'nation', 'rise”']"
5,RT @De_brightk: You for know say no bro fi dress pass the goat 🐐 #LavaFeels ..the one who hyped Adidas for Ghana here arhhh what are u talk…,RT  You for know say no bro fi dress pass the goat 🐐 #LavaFeels ..the one who hyped Adidas for Ghana here arhhh what are u talk…,RT  You for know say no bro fi dress pass the goat 🐐 #LavaFeels ..the one who hyped Adidas for Ghana here arhhh what are u talk…,  You for know say no bro fi dress pass the goat 🐐 #LavaFeels ..the one who hyped Adidas for Ghana here arhhh what are u talk…,  You for know say no bro fi dress pass the goat 🐐 LavaFeels the one who hyped Adidas for Ghana here arhhh what are u talk…,"['You', 'know', 'say', 'bro', 'fi', 'dress', 'pass', 'goat', '🐐', 'LavaFeels', 'one', 'hyped', 'Adidas', 'Ghana', 'arhhh', 'u', 'talk…']"
6,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,RT  Adidas Originals https://t.co/SyzLyaKf59,RT  Adidas Originals ,  Adidas Originals ,  Adidas Originals ,"['Adidas', 'Originals']"
7,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,RT  Adidas Originals https://t.co/SyzLyaKf59,RT  Adidas Originals ,  Adidas Originals ,  Adidas Originals ,"['Adidas', 'Originals']"
8,"RT @chicletsclips: CONTEST! 

Want to win an Adidas jersey from which ever team you want? It’s simple follow the steps below and you’re ent…","RT  CONTEST! 

Want to win an Adidas jersey from which ever team you want? It’s simple follow the steps below and you’re ent…","RT  CONTEST! 

Want to win an Adidas jersey from which ever team you want? It’s simple follow the steps below and you’re ent…","  CONES! 

Want to win an Adidas jersey from which ever team you want? It’s simple follow the steps below and you’re ent…","  CONES 

Want to win an Adidas jersey from which ever team you want It’s simple follow the steps below and you’re ent…","['CONES', 'Want', 'win', 'Adidas', 'jersey', 'ever', 'team', 'want', 'It’s', 'simple', 'follow', 'steps', 'you’re', 'ent…']"
9,RT @mohaesus: the said “adidas nation rise” https://t.co/pMakSZ4qo9,RT  the said “adidas nation rise” https://t.co/pMakSZ4qo9,RT  the said “adidas nation rise” ,  the said “adidas nation rise” ,  the said “adidas nation rise” ,"['said', '“adidas', 'nation', 'rise”']"
10,@CelticFC @Oedouard22 Announce Adidas strips please 😆,  Announce Adidas strips please 😆,  Announce Adidas strips please 😆,  Announce Adidas strips please 😆,  Announce Adidas strips please 😆,"['Announce', 'Adidas', 'strips', 'please', '😆']"
