,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,@AmazonHelp I don't know why you Amazon wants to deliver this product late if product is already in the city? Worst… https://t.co/a67oa094JC, I don't know why you Amazon wants to deliver this product late if product is already in the city? Worst… https://t.co/a67oa094JC, I don't know why you Amazon wants to deliver this product late if product is already in the city? Worst… , I don't know why you Amazon wants to deliver this product late if product is already in the city? Worst… , I dont know why you Amazon wants to deliver this product late if product is already in the city Worst… ,"['I', 'dont', 'know', 'Amazon', 'wants', 'deliver', 'product', 'late', 'product', 'already', 'city', 'Worst…']"
1,"Aquaphor Lip Repair Ointment for $2.97!!  

Clip the #coupon!  

 #Deal #ganga

 https://t.co/rB7NEd38GT https://t.co/0aLck0qszH","Aquaphor Lip Repair Ointment for $2.97!!  

Clip the #coupon!  

 #Deal #ganga

 https://t.co/rB7NEd38GT https://t.co/0aLck0qszH","Aquaphor Lip Repair Ointment for $2.97!!  

Clip the #coupon!  

 #Deal #ganga

  ","Aquaphor Lip epair Ointment for $.!!  

Clip the #coupon!  

 #Deal #ganga

  ","Aquaphor Lip epair Ointment for   

Clip the coupon  

 Deal ganga

  ","['Aquaphor', 'Lip', 'epair', 'Ointment', 'Clip', 'coupon', 'Deal', 'ganga']"
2,"RT @JRodneyPage: LARRY AND FREDDY CLINTON

DUMB AS A COUPLE OF FOXES...?!

La Rôtisserie de Porc Intelligent

Wit, Wisdom &amp; Heart

Thirteen…","RT  LARRY AND FREDDY CLINTON

DUMB AS A COUPLE OF FOXES...?!

La Rôtisserie de Porc Intelligent

Wit, Wisdom &amp; Heart

Thirteen…","RT  LARRY AND FREDDY CLINTON

DUMB AS A COUPLE OF FOXES...?!

La Rôtisserie de Porc Intelligent

Wit, Wisdom &amp; Heart

Thirteen…","  LAY AND FEDDY CLINON

DUMB AS A COUPLE OF FOXES...?!

La ôtisserie de Porc Intelligent

Wit, Wisdom &amp; Heart

hirteen…","  LAY AND FEDDY CLINON

DUMB AS A COUPLE OF FOXES

La ôtisserie de Porc Intelligent

Wit Wisdom amp Heart

hirteen…","['LAY', 'AND', 'FEDDY', 'CLINON', 'DUMB', 'AS', 'A', 'COUPLE', 'OF', 'FOXES', 'La', 'ôtisserie', 'de', 'Porc', 'Intelligent', 'Wit', 'Wisdom', 'amp', 'Heart', 'hirteen…']"
3,"Aquaphor Lip Repair Ointment for $2.97!!  

Clip the coupon!  

https://t.co/wLtbMWqNA0 https://t.co/IV9y1DJhWI","Aquaphor Lip Repair Ointment for $2.97!!  

Clip the coupon!  

https://t.co/wLtbMWqNA0 https://t.co/IV9y1DJhWI","Aquaphor Lip Repair Ointment for $2.97!!  

Clip the coupon!  

 ","Aquaphor Lip epair Ointment for $.!!  

Clip the coupon!  

 ","Aquaphor Lip epair Ointment for   

Clip the coupon  

 ","['Aquaphor', 'Lip', 'epair', 'Ointment', 'Clip', 'coupon']"
4,"RT @JRodneyPage: THE DETECTIVE &amp; THE GUY RUNNING THE NUMBERS RACKET...

NO HONOR TO BE HAD BETWEEN THESE TWO

""If you want political correc…","RT  THE DETECTIVE &amp; THE GUY RUNNING THE NUMBERS RACKET...

NO HONOR TO BE HAD BETWEEN THESE TWO

""If you want political correc…","RT  THE DETECTIVE &amp; THE GUY RUNNING THE NUMBERS RACKET...

NO HONOR TO BE HAD BETWEEN THESE TWO

""If you want political correc…","  HE DEECIVE &amp; HE GUY UNNING HE NUMBES ACKE...

NO HONO O BE HAD BEWEEN HESE WO

""If you want political correc…","  HE DEECIVE amp HE GUY UNNING HE NUMBES ACKE

NO HONO O BE HAD BEWEEN HESE WO

If you want political correc…","['HE', 'DEECIVE', 'amp', 'HE', 'GUY', 'UNNING', 'HE', 'NUMBES', 'ACKE', 'NO', 'HONO', 'O', 'BE', 'HAD', 'BEWEEN', 'HESE', 'WO', 'If', 'want', 'political', 'correc…']"
5,"RT @FaberBooks: Hedgehog and Tortoise want to give each other a great big hug, but they're not allowed to touch.
From the creators of The H…","RT  Hedgehog and Tortoise want to give each other a great big hug, but they're not allowed to touch.
From the creators of The H…","RT  Hedgehog and Tortoise want to give each other a great big hug, but they're not allowed to touch.
From the creators of The H…","  Hedgehog and ortoise want to give each other a great big hug, but they're not allowed to touch.
From the creators of he H…","  Hedgehog and ortoise want to give each other a great big hug but theyre not allowed to touch
From the creators of he H…","['Hedgehog', 'ortoise', 'want', 'give', 'great', 'big', 'hug', 'theyre', 'allowed', 'touch', 'From', 'creators', 'H…']"
6,RT @robbystarbuck: I was on Amazon just now to read some product reviews and on every page I kept seeing a specific question being asked to…,RT  I was on Amazon just now to read some product reviews and on every page I kept seeing a specific question being asked to…,RT  I was on Amazon just now to read some product reviews and on every page I kept seeing a specific question being asked to…,  I was on Amazon just now to read some product reviews and on every page I kept seeing a specific question being asked to…,  I was on Amazon just now to read some product reviews and on every page I kept seeing a specific question being asked to…,"['I', 'Amazon', 'read', 'product', 'reviews', 'every', 'page', 'I', 'kept', 'seeing', 'specific', 'question', 'asked', 'to…']"
7,'An evil sports drug from WWII had me worried.' https://t.co/Ha1nYi8Ctp #kindle #ReviewMay #bookish #KDP #ASMSG… https://t.co/XARF8ySenK,'An evil sports drug from WWII had me worried.' https://t.co/Ha1nYi8Ctp #kindle #ReviewMay #bookish #KDP #ASMSG… https://t.co/XARF8ySenK,'An evil sports drug from WWII had me worried.'  #kindle #ReviewMay #bookish #KDP #ASMSG… ,'An evil sports drug from WWII had me worried.'  #kindle #eviewMay #bookish #KDP #ASMSG… ,An evil sports drug from WWII had me worried  kindle eviewMay bookish KDP ASMSG… ,"['An', 'evil', 'sports', 'drug', 'WWII', 'worried', 'kindle', 'eviewMay', 'bookish', 'KDP', 'ASMSG…']"
8,"RT @KenFry10: BOOK 1: AWAKENING
And the story begins...
In the time of Saladin, before The Third Crusade, an unlikely heroine is born.
♨ ht…","RT  BOOK 1: AWAKENING
And the story begins...
In the time of Saladin, before The Third Crusade, an unlikely heroine is born.
♨ ht…","RT  BOOK 1: AWAKENING
And the story begins...
In the time of Saladin, before The Third Crusade, an unlikely heroine is born.
♨ ht…","  BOOK : AWAKENING
And the story begins...
In the time of Saladin, before he hird Crusade, an unlikely heroine is born.
♨ ht…","  BOOK  AWAKENING
And the story begins
In the time of Saladin before he hird Crusade an unlikely heroine is born
♨ ht…","['BOOK', 'AWAKENING', 'And', 'story', 'begins', 'In', 'time', 'Saladin', 'hird', 'Crusade', 'unlikely', 'heroine', 'born', '♨', 'ht…']"
9,"Aric Steel Hand Blender Mixer 
Froth Whisker Latte Maker for Milk Coffee Egg Beater Juice (9 Inches)
₹ 130.00
Can b… https://t.co/C2sgZWEkxm","Aric Steel Hand Blender Mixer 
Froth Whisker Latte Maker for Milk Coffee Egg Beater Juice (9 Inches)
₹ 130.00
Can b… https://t.co/C2sgZWEkxm","Aric Steel Hand Blender Mixer 
Froth Whisker Latte Maker for Milk Coffee Egg Beater Juice (9 Inches)
₹ 130.00
Can b… ","Aric Steel Hand Blender Mixer 
Froth Whisker Latte Maker for Milk Coffee Egg Beater Juice ( Inches)
₹ .
Can b… ","Aric Steel Hand Blender Mixer 
Froth Whisker Latte Maker for Milk Coffee Egg Beater Juice  Inches
₹ 
Can b… ","['Aric', 'Steel', 'Hand', 'Blender', 'Mixer', 'Froth', 'Whisker', 'Latte', 'Maker', 'Milk', 'Coffee', 'Egg', 'Beater', 'Juice', 'Inches', '₹', 'Can', 'b…']"
