,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,@MallikaBasu_ Amul cream 😃, Amul cream 😃, Amul cream 😃, Amul cream 😃, Amul cream 😃,"['Amul', 'cream', '😃']"
1,"If it wasn't already obvious, Biden promising a ""progressive"" administration does not extend to American imperialis… https://t.co/owN5V3GcpF","If it wasn't already obvious, Biden promising a ""progressive"" administration does not extend to American imperialis… https://t.co/owN5V3GcpF","If it wasn't already obvious, Biden promising a ""progressive"" administration does not extend to American imperialis… ","If it wasn't already obvious, Biden promising a ""progressive"" administration does not extend to American imperialis… ",If it wasnt already obvious Biden promising a progressive administration does not extend to American imperialis… ,"['If', 'wasnt', 'already', 'obvious', 'Biden', 'promising', 'progressive', 'administration', 'extend', 'American', 'imperialis…']"
2,"RT @vinayak_jain: While the media will promote Kejriwal and Bollywood Uddhav, a very simple yet extremely appreciable step by Gujarat CM @v…","RT  While the media will promote Kejriwal and Bollywood Uddhav, a very simple yet extremely appreciable step by Gujarat CM ","RT  While the media will promote Kejriwal and Bollywood Uddhav, a very simple yet extremely appreciable step by Gujarat CM ","  While the media will promote Kejriwal and Bollywood Uddhav, a very simple yet extremely appreciable step by Gujarat CM ",  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ,"['While', 'media', 'promote', 'Kejriwal', 'Bollywood', 'Uddhav', 'simple', 'yet', 'extremely', 'appreciable', 'step', 'Gujarat', 'CM']"
3,"RT @Rahul97279167: This shop. Keeper is from Ahmedabad,  his Amul store is in front of nandanvan 1, near hind super market,  jodhpur, satel…","RT  This shop. Keeper is from Ahmedabad,  his Amul store is in front of nandanvan 1, near hind super market,  jodhpur, satel…","RT  This shop. Keeper is from Ahmedabad,  his Amul store is in front of nandanvan 1, near hind super market,  jodhpur, satel…","  his shop. Keeper is from Ahmedabad,  his Amul store is in front of nandanvan , near hind super market,  jodhpur, satel…",  his shop Keeper is from Ahmedabad  his Amul store is in front of nandanvan  near hind super market  jodhpur satel…,"['shop', 'Keeper', 'Ahmedabad', 'Amul', 'store', 'front', 'nandanvan', 'near', 'hind', 'super', 'market', 'jodhpur', 'satel…']"
4,"This shop. Keeper is from Ahmedabad,  his Amul store is in front of nandanvan 1, near hind super market,  jodhpur,… https://t.co/I6OHFhTuN3","This shop. Keeper is from Ahmedabad,  his Amul store is in front of nandanvan 1, near hind super market,  jodhpur,… https://t.co/I6OHFhTuN3","This shop. Keeper is from Ahmedabad,  his Amul store is in front of nandanvan 1, near hind super market,  jodhpur,… ","his shop. Keeper is from Ahmedabad,  his Amul store is in front of nandanvan , near hind super market,  jodhpur,… ",his shop Keeper is from Ahmedabad  his Amul store is in front of nandanvan  near hind super market  jodhpur… ,"['shop', 'Keeper', 'Ahmedabad', 'Amul', 'store', 'front', 'nandanvan', 'near', 'hind', 'super', 'market', 'jodhpur…']"
5,"RT @Amul_Coop: The two critical ingredients for a great kheer are Love and #Amul Gold, in that order. Try this richer and creamier combo ri…","RT  The two critical ingredients for a great kheer are Love and #Amul Gold, in that order. Try this richer and creamier combo ri…","RT  The two critical ingredients for a great kheer are Love and #Amul Gold, in that order. Try this richer and creamier combo ri…","  he two critical ingredients for a great kheer are Love and #Amul Gold, in that order. ry this richer and creamier combo ri…",  he two critical ingredients for a great kheer are Love and Amul Gold in that order ry this richer and creamier combo ri…,"['two', 'critical', 'ingredients', 'great', 'kheer', 'Love', 'Amul', 'Gold', 'order', 'ry', 'richer', 'creamier', 'combo', 'ri…']"
6,"RT @terence_fdes: Good Morning ""aatmaKHANirbhar"" India

No one could say it better than @Amul_Coop 

Waiting now for the BHAKTS to Ban Amul…","RT  Good Morning ""aatmaKHANirbhar"" India

No one could say it better than  

Waiting now for the BHAKTS to Ban Amul…","RT  Good Morning ""aatmaKHANirbhar"" India

No one could say it better than  

Waiting now for the BHAKTS to Ban Amul…","  Good Morning ""aatmaKHANirbhar"" India

No one could say it better than  

Waiting now for the BHAKS to Ban Amul…","  Good Morning aatmaKHANirbhar India

No one could say it better than  

Waiting now for the BHAKS to Ban Amul…","['Good', 'Morning', 'aatmaKHANirbhar', 'India', 'No', 'one', 'could', 'say', 'better', 'Waiting', 'BHAKS', 'Ban', 'Amul…']"
7,"RT Amul_Coop: The two critical ingredients for a great kheer are Love and #Amul Gold, in that order. Try this riche… https://t.co/eQAbzJjOlF","RT Amul_Coop: The two critical ingredients for a great kheer are Love and #Amul Gold, in that order. Try this riche… https://t.co/eQAbzJjOlF","RT Amul_Coop: The two critical ingredients for a great kheer are Love and #Amul Gold, in that order. Try this riche… "," Amul_Coop: he two critical ingredients for a great kheer are Love and #Amul Gold, in that order. ry this riche… ", AmulCoop he two critical ingredients for a great kheer are Love and Amul Gold in that order ry this riche… ,"['AmulCoop', 'two', 'critical', 'ingredients', 'great', 'kheer', 'Love', 'Amul', 'Gold', 'order', 'ry', 'riche…']"
8,@poojabeditweets @Amul_Coop His fiancee can just dream about Portuguese passport but we should request goa governme… https://t.co/RtmrY8ogVy,  His fiancee can just dream about Portuguese passport but we should request goa governme… https://t.co/RtmrY8ogVy,  His fiancee can just dream about Portuguese passport but we should request goa governme… ,  His fiancee can just dream about Portuguese passport but we should request goa governme… ,  His fiancee can just dream about Portuguese passport but we should request goa governme… ,"['His', 'fiancee', 'dream', 'Portuguese', 'passport', 'request', 'goa', 'governme…']"
9,RT @Amul_Coop: #Amul Topical: Govt economic scheme for boosting economy! https://t.co/gOaVTIROVA,RT  #Amul Topical: Govt economic scheme for boosting economy! https://t.co/gOaVTIROVA,RT  #Amul Topical: Govt economic scheme for boosting economy! ,  #Amul opical: Govt economic scheme for boosting economy! ,  Amul opical Govt economic scheme for boosting economy ,"['Amul', 'opical', 'Govt', 'economic', 'scheme', 'boosting', 'economy']"
