,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @chrisshipitv: Search Royal Rota ITV on
📺 You Tube
📱 Apple podcasts
🎧 Spotify","RT  Search Royal Rota ITV on
📺 You Tube
📱 Apple podcasts
🎧 Spotify","RT  Search Royal Rota ITV on
📺 You Tube
📱 Apple podcasts
🎧 Spotify","  Search oyal ota IV on
📺 You ube
📱 Apple podcasts
🎧 Spotify","  Search oyal ota IV on
📺 You ube
📱 Apple podcasts
🎧 Spotify","['Search', 'oyal', 'ota', 'IV', '📺', 'You', 'ube', '📱', 'Apple', 'podcasts', '🎧', 'Spotify']"
1,💓 Bespoke AirPods®️ case  #EC #egoairpodscase #secondabase #playwithtechnology  #superfluous #www #vegan #iphone11… https://t.co/Z74XNNa4Ef,💓 Bespoke AirPods®️ case  #EC #egoairpodscase #secondabase #playwithtechnology  #superfluous #www #vegan #iphone11… https://t.co/Z74XNNa4Ef,💓 Bespoke AirPods®️ case  #EC #egoairpodscase #secondabase #playwithtechnology  #superfluous #www #vegan #iphone11… ,💓 Bespoke AirPods®️ case  #EC #egoairpodscase #secondabase #playwithtechnology  #superfluous #www #vegan #iphone… ,💓 Bespoke AirPods®️ case  EC egoairpodscase secondabase playwithtechnology  superfluous www vegan iphone… ,"['💓', 'Bespoke', 'AirPods®️', 'case', 'EC', 'egoairpodscase', 'secondabase', 'playwithtechnology', 'superfluous', 'www', 'vegan', 'iphone…']"
2,"RT @RealJamesWoods: “How groups are feathering illegals into the census to create more Democrat seats in Congress.” There, fixed it for you…","RT  “How groups are feathering illegals into the census to create more Democrat seats in Congress.” There, fixed it for you…","RT  “How groups are feathering illegals into the census to create more Democrat seats in Congress.” There, fixed it for you…","  “How groups are feathering illegals into the census to create more Democrat seats in Congress.” here, fixed it for you…",  “How groups are feathering illegals into the census to create more Democrat seats in Congress” here fixed it for you…,"['“How', 'groups', 'feathering', 'illegals', 'census', 'create', 'Democrat', 'seats', 'Congress”', 'fixed', 'you…']"
3,Why are Prince Andrew's lawyers such a secret? Lawyer for his alleged victim Virginia Roberts criticises the Duke f… https://t.co/6RQe9yehPm,Why are Prince Andrew's lawyers such a secret? Lawyer for his alleged victim Virginia Roberts criticises the Duke f… https://t.co/6RQe9yehPm,Why are Prince Andrew's lawyers such a secret? Lawyer for his alleged victim Virginia Roberts criticises the Duke f… ,Why are Prince Andrew's lawyers such a secret? Lawyer for his alleged victim Virginia oberts criticises the Duke f… ,Why are Prince Andrews lawyers such a secret Lawyer for his alleged victim Virginia oberts criticises the Duke f… ,"['Why', 'Prince', 'Andrews', 'lawyers', 'secret', 'Lawyer', 'alleged', 'victim', 'Virginia', 'oberts', 'criticises', 'Duke', 'f…']"
4,@fleeto91 @VinnieMazz @ratedPYG @_ktbm @HuangRebekah @paix120 @JakeMcClory @tedcruz @AOC Both being viruses does no… https://t.co/NZK0BBxObD,         Both being viruses does no… https://t.co/NZK0BBxObD,         Both being viruses does no… ,         Both being viruses does no… ,         Both being viruses does no… ,"['Both', 'viruses', 'no…']"
5,RT @bmctv2020: This right here hits on a different level we listened to the whole album yesterday and felt every word @SuriusVsVodka  https…,RT  This right here hits on a different level we listened to the whole album yesterday and felt every word   https…,RT  This right here hits on a different level we listened to the whole album yesterday and felt every word   https…,  his right here hits on a different level we listened to the whole album yesterday and felt every word   https…,  his right here hits on a different level we listened to the whole album yesterday and felt every word   https…,"['right', 'hits', 'different', 'level', 'listened', 'whole', 'album', 'yesterday', 'felt', 'every', 'word', 'https…']"
6,"RT @btschartdata: #MAPOF7 listening party at 12AM KST!

Start the album at the exact time without shuffling and enjoy the album! 🌎🎶

• Spot…","RT  #MAPOF7 listening party at 12AM KST!

Start the album at the exact time without shuffling and enjoy the album! 🌎🎶

• Spot…","RT  #MAPOF7 listening party at 12AM KST!

Start the album at the exact time without shuffling and enjoy the album! 🌎🎶

• Spot…","  #MAPOF listening party at AM KS!

Start the album at the exact time without shuffling and enjoy the album! 🌎🎶

• Spot…","  MAPOF listening party at AM KS

Start the album at the exact time without shuffling and enjoy the album 🌎🎶

• Spot…","['MAPOF', 'listening', 'party', 'AM', 'KS', 'Start', 'album', 'exact', 'time', 'without', 'shuffling', 'enjoy', 'album', '🌎🎶', '•', 'Spot…']"
7,RT @smh: A new report by the Australian Strategic Policy Institute alleges some factories that supply major global brands including Nike an…,RT  A new report by the Australian Strategic Policy Institute alleges some factories that supply major global brands including Nike an…,RT  A new report by the Australian Strategic Policy Institute alleges some factories that supply major global brands including Nike an…,  A new report by the Australian Strategic Policy Institute alleges some factories that supply major global brands including Nike an…,  A new report by the Australian Strategic Policy Institute alleges some factories that supply major global brands including Nike an…,"['A', 'new', 'report', 'Australian', 'Strategic', 'Policy', 'Institute', 'alleges', 'factories', 'supply', 'major', 'global', 'brands', 'including', 'Nike', 'an…']"
8,@RevoltingAJ @DouggieJones @RecluseSociety @DrDooleyMD What i would support though is a government monopoly on all… https://t.co/T5Tn716Nsm,    What i would support though is a government monopoly on all… https://t.co/T5Tn716Nsm,    What i would support though is a government monopoly on all… ,    What i would support though is a government monopoly on all… ,    What i would support though is a government monopoly on all… ,"['What', 'would', 'support', 'though', 'government', 'monopoly', 'all…']"
9,RT @fkanico: It appears that Lady Gaga’s deal with Apple includes a mass AirPods Pro giveaway to people who stream ‘Stupid Love’ on Apple M…,RT  It appears that Lady Gaga’s deal with Apple includes a mass AirPods Pro giveaway to people who stream ‘Stupid Love’ on Apple M…,RT  It appears that Lady Gaga’s deal with Apple includes a mass AirPods Pro giveaway to people who stream ‘Stupid Love’ on Apple M…,  It appears that Lady Gaga’s deal with Apple includes a mass AirPods Pro giveaway to people who stream ‘Stupid Love’ on Apple M…,  It appears that Lady Gaga’s deal with Apple includes a mass AirPods Pro giveaway to people who stream ‘Stupid Love’ on Apple M…,"['It', 'appears', 'Lady', 'Gaga’s', 'deal', 'Apple', 'includes', 'mass', 'AirPods', 'Pro', 'giveaway', 'people', 'stream', '‘Stupid', 'Love’', 'Apple', 'M…']"
