Sentiment,Tweets
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['   Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Loca…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['his super useful lifehack  for working around the red status on Aarogya Setu app  was provided by  ']
[2],['  flights to resume you can fly if you have aarogya setu now pahle app pahle app mein flight chhoot jayegi']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Apple Google’s New COVID  Contact racing API Won’t Work With Aarogya Setu \r\r\r\n\r\r\r\n']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  he ministry guidelines mentions Aarogya Setu app requirement for travellers but Minister Puri indicated it is not mandator…']
[2],['  Apple Google’s New COVID  Contact racing API Won’t Work With Aarogya Setu \r\r\r\n\r\r\r\n']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['After I hear Kolkata is in the list of top metros resuming flights middle seats to be filled despite DGCA reco bec… ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['If any old age parents both want to travel by train but only one of them have smart phone and aarogya setu app… ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[4],[' Dear Sir I have a situation where my father is admitted to ICU because of a strokeI need to catch… ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['Selfdeclaration form People who are not trusting Aarogya Setu how can they be trusted with a sheet of paper\r\r\r\n\r\r\r\n ']
[4],[' Whatsapp ki thi😝']
[2],['  Apple Google’s New COVID  Contact racing API Won’t Work With Aarogya Setu \r\r\r\n\r\r\r\n']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Airports Authority of India AAI has issued Standard Operating Procedures SOP to all its airports for recommencement of domesti…']
[2],['  After the petition was filed and due to continuous advocacy by many individuals and organizations the MHA diluted its…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],[' Logic just jumped off the Aarogya setu']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['   App is trusted by  Million Indians Download the Aarogya Setu App to strengthen Indias fight against the…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Passengers who dont have Aarogya Setu app can give selfdeclaration form will not be stopped from boarding flights Aviatio…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Passengers who dont have Aarogya Setu app can give selfdeclaration form will not be stopped from boarding flights Aviatio…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Apple Google’s New COVID  Contact racing API Won’t Work With Aarogya Setu \r\r\r\n\r\r\r\n']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Passengers who dont have Aarogya Setu app can give selfdeclaration form will not be stopped from boarding flights Aviatio…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Passengers who dont have Aarogya Setu app can give selfdeclaration form will not be stopped from boarding flights Aviatio…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  We are trying to serve the passengers to the best of our ability All the passengers are disciplined and following norms of soc…']
[2],['  Airports Authority of India AAI has issued Standard Operating Procedures SOP to all its airports for recommencement of domesti…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['Passengers who dont have Aarogya Setu app can give selfdeclaration form will not be stopped from boarding flight… ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['Apple and Google COVID app tech will not work with Aarogya Setu Heres why  ']
[2],['  Airports Authority of India AAI has issued Standard Operating Procedures SOP to all its airports for recommencement of domesti…']
[0],['Sports Authority of India makes it mandatory for athletes and officials at national camps to install the Aarogya Se… ']
[2],['   App is trusted by  Million Indians Download the Aarogya Setu App to strengthen Indias fight against the…']
[2],['  Airports Authority of India AAI has issued Standard Operating Procedures SOP to all its airports for recommencement of domesti…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  wo weeks after  amp  submitted a legal challenge against mandatory imposition of AarogyaSetuA…']
[2],['In future BJP may make this rules \r\r\r\n\r\r\r\nIf you want to leave in Indiaall must download aarogya setu app😅\r\r\r\n\r\r\r\nIf you… ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[0],['  Aarogya Setu app mandatory for administrators as well as athletes at national camps SAI SOP for training']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  o all of those who havent already download Aarogya Setu App he links for Android and iOS are given in the following twe…']
[2],['  IMP “If you don’t have a phone that can support Aarogya Setu app then something else will have to be done thermal screening…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Passengers who dont have Aarogya Setu app can give selfdeclaration form will not be stopped from boarding flights Aviatio…']
[2],['  Meanwhile when the only option to prevent this deadly pathogen is social distancing connecting digitally could also…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Heres how Aarogya Setu Indias COVID tracking app is incompatible with Apple and Googles contact tracing technology…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Airports Authority of India AAI has issued Standard Operating Procedures SOP to all its airports for recommencement of domesti…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['Apple Googleâ\x80\x99s New COVID  Contact racing API Wonâ\x80\x99t Work With Aarogya Setu ']
[2],['  🇮🇳 India  welcomes the Home Ministry guidelines that no longer mandates the installation of AarogyaSetu COVID applica…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['   App is trusted by  Million Indians Download the Aarogya Setu App to strengthen Indias fight against the…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['   IS MAY \r\r\r\nPassengers who dont have Aarogya Setu app can give selfdeclaration form will not be stopped from bo…']
[4],[' ead ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requires location storage camera and telephone permission but but Aarogya Setu App with just Location P…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Passengers with ed Aarogya Setu status cannot travel on domestic flights ']
[2],['  Oooo Google Apple Such big tech giants Yes\r\r\r\nrace me Google race me Apple Yes Yes Yes race me ACE ME ig…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  A selfdeclaration or Aarogya Setu App status on a compatible device would be obtained to ensure that a passenger is free of…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],[' IS MAY \r\r\r\nPassengers who dont have Aarogya Setu app can give selfdeclaration form will not be stopped… ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  New guidelines in place for flights resuming from May  \r\r\r\n\r\r\r\n\r\r\r\n']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['   App is trusted by  Million Indians Download the Aarogya Setu App to strengthen Indias fight against the…']
[2],['  Passengers who dont have Aarogya Setu app can give selfdeclaration form will not be stopped from boarding flights Aviatio…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['Passengers with ed Aarogya Setu status cannot travel on domestic flights ']
[2],['  What is Aarogya Setus risk classification based on How is proximity and infection determined Who do you complain to…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['   Kindly spread this information he advisory pdf from  regarding passengers says if… ']
[0],['  Aarogya Setu app mandatory for administrators as well as athletes at national camps SAI SOP for training']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[0],['  Aarogya Setu app mandatory for administrators as well as athletes at national camps SAI SOP for training']
[2],['  Airports Authority of India AAI has issued Standard Operating Procedures SOP to all its airports for recommencement of domesti…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Apple Google’s New COVID  Contact racing API Won’t Work With Aarogya Setu \r\r\r\n\r\r\r\n']
[2],['  Airports Authority of India AAI has issued Standard Operating Procedures SOP to all its airports for recommencement of domesti…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  New guidelines in place for flights resuming from May  \r\r\r\n\r\r\r\n\r\r\r\n']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Alt News App requires location storage camera and telephone permission but but Aarogya Setu App with just Location P…']
[2],['New guidelines in place for flights resuming from May  \r\r\r\n\r\r\r\n\r\r\r\n']
[2],['If youre planning on flying after May  you will have to download the  app \r\r\r\n\r\r\r\n ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  What is Aarogya Setus risk classification based on How is proximity and infection determined Who do you complain to…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[0],['  Aarogya Setu app mandatory for administrators as well as athletes at national camps SAI SOP for training']
[2],['   Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Loca…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Passengers who dont have Aarogya Setu app can give selfdeclaration form will not be stopped from boarding flights Aviatio…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  his government has been treating this pandemic as law and order issue from day one If you want bail Download aarogya setu…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['   App is trusted by  Million Indians Download the Aarogya Setu App to strengthen Indias fight against the…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requires location storage camera and telephone permission but but Aarogya Setu App with just Location P…']
[4],['How safe is Aarogya Setu app since one has to keep Bluetooth on all the time How safe phone will be from being hacked AarogyaSetu']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[0],['    A completely reliable and tried and tested app like Aarogya Setu and… ']
[2],['  Passengers who dont have Aarogya Setu app can give selfdeclaration form will not be stopped from boarding flights Aviatio…']
[4],['         You forg… ']
[2],['  Airports Authority of India AAI has issued Standard Operating Procedures SOP to all its airports for recommencement o…']
[4],['   Stalker Sinha on Aarogya Setu\r\r\r\n\r\r\r\n Stalker Sinha’s own app ']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  Passengers who dont have Aarogya Setu app can give selfdeclaration form will not be stopped from boarding flights Aviatio…']
[2],['  Alt News App requirs location storage camera and telephone permission but Aarogya Setu App with just Location Permission…']
[2],['  It shall be verified by the Central Industrial Security ForceAirport staff at the entry gate However Aarogya Setu is not mandat…']
