Sentiment,Tweets
[2],['  Adidas Originals ']
[4],['I have  old pairs of stinky and dirty shoes up for sale\r\r\r\n  converse\r\r\r\n  Adidas\r\r\r\n  pimkie\r\r\r\nWouldnt you love… ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  the said “adidas nation rise” ']
[4],['  You for know say no bro fi dress pass the goat 🐐 LavaFeels the one who hyped Adidas for Ghana here arhhh what are u talk…']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[4],['  CONES \r\r\r\n\r\r\r\nWant to win an Adidas jersey from which ever team you want It’s simple follow the steps below and you’re ent…']
[2],['  the said “adidas nation rise” ']
[2],['  Announce Adidas strips please 😆']
[2],['Adidas Yeezy YeezyBoost Adidas Mens Yeezy Boost  riple Black Kanye West Sneakers BB  Size … ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[4],['  Hey  take them for example More shoes are made All I want is just one bottle of… ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[4],['  emember this Adidas advert “Jose ” from   ']
[2],['  Adidas Originals ']
[0],[' Adidas is actually being nice to us 😭 Man Citys kit looks like broken china plate 💀']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Winter is here gents Get your tracksuits and joggers Adidas joggers  Nike tracksuits  and Kappa tracksuits men…']
[4],['  CONES \r\r\r\n\r\r\r\nWant to win an Adidas jersey from which ever team you want It’s simple follow the steps below and you’re ent…']
[4],['How I roll ✌️😎  hometeam stripes ']
[4],['  CONES \r\r\r\n\r\r\r\nWant to win an Adidas jersey from which ever team you want It’s simple follow the steps below and you’re ent…']
[2],['  Adidas Originals ']
[0],['  so likeadidas ']
[4],['  Can’t believe I’ve never posted this picture four of my favourite Arsenal players in one of my favourite kits What a…']
[2],['  Adidas Originals ']
[4],['  CONES \r\r\r\n\r\r\r\nWant to win an Adidas jersey from which ever team you want It’s simple follow the steps below and you’re ent…']
[0],['  so likeadidas ']
[2],['  the said “adidas nation rise” ']
[2],['  Adidas Originals ']
[2],['  INIKI \U0001f90d\U0001f90d\U0001f90d\U0001f90d\r\r\r\n\r\r\r\nAdidas for the win ']
[2],['  Adidas Originals ']
[2],['All item is 💯Original Legit\r\r\r\neady Stock\r\r\r\nEllesse Punto MampL M\r\r\r\nAdidas Festival Bag M\r\r\r\nSuperdry Pouch Bag M… ']
[4],['  emember this Adidas advert “Jose ” from   ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Kanye owns  of Yeezy Adidas produces amp distributes them He gets royalties of  of the sales and its closer to …']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  We got these authentic Nike amp Adidas slides for sale Sizes  For men and women And We can deliver anywhere within t…']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  ส่องรองเท้าน้องโดยอง\r\r\r\nAdidas\r\r\r\nBlack amp Silver Falcon\r\r\r\n\r\r\r\n\r\r\r\n\r\r\r\nEASUE DOYOUNG ']
[2],['  hey sold out quickly but more will come his was just the first step in the  nine piece collection Stay tuned…']
[2],['his adidas NMD arrives  houghts ']
[2],[' Please please please drop the Snowcone Adizero  football cleats again 🙏🙏🙏 Would love to get my hands on… ']
[2],['Yeezy  Analog now  on Farfetch new accounts get  off with code welc  ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[0],['You must be mad if you believe that folks in Wuhan will stop selling wild animals in wet markets or on the black ma… ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['Huge savings on the Crystal White adidas SC Premier Using code SHOP\r\r\r\n\r\r\r\nNOW £ gt  ']
[0],['  so likeadidas ']
[2],['  Adidas Originals ']
[2],['  Winter is here gents Get your tracksuits and joggers Adidas joggers  Nike tracksuits  and Kappa tracksuits men…']
[2],['  Ad 📢 he new adidas offer is now ON   \r\r\r\n\r\r\r\nUse the promo code SHOP to save  on adidas INCLUDING sale items 🔥🔥\r\r\r\n\r\r\r\nHappy S…']
[0],['  Adidas tennis superstar \r\r\r\nN\r\r\r\n\r\r\r\nNationwide Delivery \r\r\r\n\r\r\r\nShop now  ']
[2],['  the said “adidas nation rise” ']
[0],['  so likeadidas ']
[0],['  so likeadidas ']
[2],['  adidas Yeezy Quantum “Barium”\r\r\r\nStyle Code H\r\r\r\n\r\r\r\nelease Date June rd \r\r\r\nPrice \r\r\r\n ']
[2],['  Adidas Originals ']
[4],['Not Lana dragging the girls when she goes on stage wearing adidas']
[2],['  Adidas Originals ']
[4],['Pretty sure lanez got a k plays off me from the adidas song']
[4],['  CONES \r\r\r\n\r\r\r\nWant to win an Adidas jersey from which ever team you want It’s simple follow the steps below and you’re ent…']
[4],['   cull the monsters  Barnes there wearing Adidas on an umbro team gig it was… ']
[2],['  Adidas Originals ']
[4],['  Ad  More reductions  Bargains   \r\r\r\n\r\r\r\nJake boots now £ P £ and Baara Boots now £ P £ \r\r\r\n\r\r\r\nSho…']
[2],['  Adidas Originals ']
[0],['  so likeadidas ']
[0],['  so likeadidas ']
[0],['  so likeadidas ']
[4],['  emember this Adidas advert “Jose ” from   ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[0],['    Nah you can buy original Zara Nike adidas and the likes than buying fake gucci etc']
[4],[' we shot a bunch of stuff for the adidas Liverpool in there too i think were just shoehorning ways to… ']
[2],['  the said “adidas nation rise” ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['   It’s a discussion with a co founder of castore the man who discusses a… ']
[2],['  INIKI \U0001f90d\U0001f90d\U0001f90d\U0001f90d\r\r\r\n\r\r\r\nAdidas for the win ']
[0],['   I have observed your impressive running  as I drove past on my way t… ']
[2],['  We got these authentic Nike amp Adidas slides for sale Sizes  For men and women And We can deliver anywhere within t…']
[4],['  Bet your happy about the Adidas deal']
[2],['  Adidas Originals ']
[2],['  ecently Adidas extended its kit supplier deal with  which will sbring EU  million annually for the upcom…']
[0],['AD  Couple of sizes back\r\r\r\nadidas Originals Yeezy Boost  V ‘ephra’ on BSN\r\r\r\ngt ']
[2],['  Adidas Originals ']
[2],['  FULL WADOBE GIVEAWAY  For a chance to win a full adidas wardrobe follow me and  like and retweet this pos…']
[2],['  the said “adidas nation rise” ']
[2],['  Adidas Originals ']
[2],['adifam adidas shareyourstripes after a pair of köln in size  please second hand not an issue Please rt']
[2],['  Adidas Originals ']
[0],['  Nah you can buy original Zara Nike adidas and the likes than buying fake gucci etc']
[2],['  KINDLY SEND IN YOU ODES\r\r\r\n\r\r\r\nADIDAS YEEZY SLIDE \r\r\r\n\r\r\r\nSIZES \r\r\r\n\r\r\r\nk ONLY \r\r\r\n\r\r\r\nNationwide delivery\r\r\r\n\r\r\r\nPlease rt…']
[4],['AD  Couple of sizes on BSN\r\r\r\nadidas Originals Yeezy Boost  V ‘Yeezreel’ Noneflective\r\r\r\ngt ']
[2],['  Adidas Originals ']
[0],[' 🥺🥺 u okay adidas']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[0],['  so likeadidas ']
[2],['  Adidas Originals ']
[2],['ecently Adidas extended its kit supplier deal with  which will sbring EU  million annually for th… ']
[2],['  Adidas Originals ']
[4],['adidas pants look like he don’t think for himself ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[0],['  so likeadidas ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  adidas D soles on the Ultra Boost Uncaged 👏  ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[0],['    I’m intrigued whose Adidas clad foot and bare leg that is Not normal No  attire']
[0],['  so likeadidas ']
[2],['  Adidas Originals ']
[4],['  Can’t believe I’ve never posted this picture four of my favourite Arsenal players in one of my favourite kits What a…']
[2],['  INIKI \U0001f90d\U0001f90d\U0001f90d\U0001f90d\r\r\r\n\r\r\r\nAdidas for the win ']
[2],['  Adidas Originals ']
[0],['   Hello  I feel that this man right here is a prime example of a money making m… ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  INIKI \U0001f90d\U0001f90d\U0001f90d\U0001f90d\r\r\r\n\r\r\r\nAdidas for the win ']
[2],['  Adidas Originals ']
[0],['  so likeadidas ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[0],['  so likeadidas ']
[0],['  so likeadidas ']
[2],['  Winter is here gents Get your tracksuits and joggers Adidas joggers  Nike tracksuits  and Kappa tracksuits men…']
[0],['  so likeadidas ']
[2],['  the said “adidas nation rise” ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[2],['  Adidas Originals ']
[0],['  so likeadidas ']
[2],['  Adidas Originals ']
[0],['  so likeadidas ']
[2],['  the said “adidas nation rise” ']
[4],['  Can’t believe I’ve never posted this picture four of my favourite Arsenal players in one of my favourite kits What a…']
[2],['   OFF Coupon for Men and Women Fashion Deals  PUMA adidas Nike and More deals discounts fashion coupons https…']
[2],['  Adidas Originals ']
[0],['  so likeadidas ']
[2],['  adidas Yeezy Quantum “Barium”\r\r\r\nStyle Code H\r\r\r\n\r\r\r\nelease Date June rd \r\r\r\nPrice \r\r\r\n http…']
[0],['  so likeadidas ']
[0],['  so likeadidas ']
[2],['  Adidas Originals ']
[2],['adidas Yeezy Quantum “Barium”\r\r\r\nStyle Code H\r\r\r\n\r\r\r\nelease Date June rd \r\r\r\nPrice \r\r\r\n ']
[2],['   OFF Coupon for Men and Women Fashion Deals  PUMA adidas Nike and More deals discounts fashion coupons https…']
[4],['  hx you so much to the photographer and  adidas adidasoriginals adidaschile adidaschile chile adidastrac…']
