Sentiment,Tweets
[0],[' I dont know why you Amazon wants to deliver this product late if product is already in the city Worst… ']
[2],['Aquaphor Lip epair Ointment for   \r\r\r\n\r\r\r\nClip the coupon  \r\r\r\n\r\r\r\n Deal ganga\r\r\r\n\r\r\r\n  ']
[0],['  LAY AND FEDDY CLINON\r\r\r\n\r\r\r\nDUMB AS A COUPLE OF FOXES\r\r\r\n\r\r\r\nLa ôtisserie de Porc Intelligent\r\r\r\n\r\r\r\nWit Wisdom amp Heart\r\r\r\n\r\r\r\nhirteen…']
[0],['Aquaphor Lip epair Ointment for   \r\r\r\n\r\r\r\nClip the coupon  \r\r\r\n\r\r\r\n ']
[2],['  HE DEECIVE amp HE GUY UNNING HE NUMBES ACKE\r\r\r\n\r\r\r\nNO HONO O BE HAD BEWEEN HESE WO\r\r\r\n\r\r\r\nIf you want political correc…']
[4],['  Hedgehog and ortoise want to give each other a great big hug but theyre not allowed to touch\r\r\r\nFrom the creators of he H…']
[2],['  I was on Amazon just now to read some product reviews and on every page I kept seeing a specific question being asked to…']
[0],['An evil sports drug from WWII had me worried  kindle eviewMay bookish KDP ASMSG… ']
[2],['  BOOK  AWAKENING\r\r\r\nAnd the story begins\r\r\r\nIn the time of Saladin before he hird Crusade an unlikely heroine is born\r\r\r\n♨ ht…']
[4],['Aric Steel Hand Blender Mixer \r\r\r\nFroth Whisker Latte Maker for Milk Coffee Egg Beater Juice  Inches\r\r\r\n₹ \r\r\r\nCan b… ']
[4],['We Cotton Couple Shirts King and Queen Pack of   ']
[4],['   May  he First Council of Nicaea in what is now urkey is formally opened It started the first ecumenical cou…']
[0],[' Heart of the Staff epic fantasy series” s FEE with KindleUnlimited  ']
[2],['  A year agowith  days due we waited for the Election esults Many made my book laughing stock but the truth was professed…']
[4],['Harry Potter Wizard Chess Set for  retail     \r\r\r\n   \r\r\r\n ']
[0],['  ☀️ Fresh steamy emotionala heart touching romance between two unique characters\r\r\r\n•¨•🧡•¨• \r\r\r\n\r\r\r\n🧡Hot Historical oma…']
[0],['he worst thing about the rage was its randomness  yler Bradshaw never knew what might trigger one  A tone of vo… ']
[2],['Brand new Airpods for  nd generation \r\r\r\n \r\r\r\n Under retail… ']
[2],['ake Action And Build the Life you want  book by Eddie de Jong  x  star reviews BookWorm ']
[0],['  Are you struggling to raise iron levels in your child We love Spatone liquid  does the job without…']
[4],['ationality does not come naturally it is a power we must cultivate but in doing so we realize our greatest poten… ']
[4],[' Heres your cloud If youre looking for gift ideas Cloud Bot recommends this  ']
[2],[' Pack of Champion Boxer Briefs for  \r\r\r\n\r\r\r\n Deal ganga\r\r\r\n\r\r\r\n  ']
[4],[' Pack of Champion Boxer Briefs for  \r\r\r\n\r\r\r\n ']
[4],['  here is light at the end of the tunnel\r\r\r\n\r\r\r\nI think its an oncoming train\r\r\r\n\r\r\r\nAll Aboard🚂\r\r\r\n\r\r\r\nINAPPOPIAE BY SHEY MOIS…']
[4],['   May  he First Council of Nicaea in what is now urkey is formally opened It started the first ecumenical cou…']
[0],['  Drift back in time with awardwinning author S  Mallery \r\r\r\n★SNIPPES IN IME★\r\r\r\n🦉\r\r\r\n\r\r\r\n']
[4],['  Nefarious vampires and Satan himself conspire to keep om and Abigail from their fate \r\r\r\n\r\r\r\nhe Slayer Hell Awakens by ']
[4],['   amieDearen\r\r\r\nNew elease Best Seller\r\r\r\nA sweet billionaire romance with a twist\r\r\r\nSee what all the fuss is about\r\r\r\n¢ or ead…']
[2],['GO QUICK\r\r\r\n \r\r\r\n in  Wireless Charging Dock for \r\r\r\n \r\r\r\nUse promo code JJX\r\r\r\n\r\r\r\n ']
[0],['Preorder Kaws He Eats Alone \r\r\r\n    \r\r\r\n    \r\r\r\n \r\r\r\nNot charged until it ships ']
[0],['Pledge Gentle Wood Floor Cleaner  pack for \r\r\r\n\r\r\r\nUse the coupon on the page\r\r\r\n\r\r\r\n Deal ganga… ']
[0],['Pledge Gentle Wood Floor Cleaner  pack for \r\r\r\n\r\r\r\nUse the coupon on the page\r\r\r\n\r\r\r\n ']
[4],['  ★★★★★ “Suspense and scifi with a good dash of romance”\r\r\r\nBUMP IME OIGIN\r\r\r\nimetravel Suspense by the author of Crystal Dec…']
[4],['You’ll typically see flowing curves and lines on everything from P  usb   charger to tables and sinks  amazing… ']
[4],['  New elease\r\r\r\nKathleen Harryman has done it again with her new release a psychological thriller that will have you on the e…']
[4],['     Minister Sir plz ban this company like netmeds they are… ']
[2],['  Comparing and contrasting Human Learning versus MachineLearning \r\r\r\n————\r\r\r\nabdsc BigData DataScience…']
[2],['  Book  Addiction Debates Hot opics from Policy to Practice  H   addict…']
[2],['  I was on Amazon just now to read some product reviews and on every page I kept seeing a specific question being asked to…']
[0],['☀️ Fresh steamy emotionala heart touching romance between two unique characters\r\r\r\n•¨•🧡•¨• \r\r\r\n\r\r\r\n🧡Hot Historical… ']
[2],['  HE DEECIVE amp HE GUY UNNING HE NUMBES ACKE\r\r\r\n\r\r\r\nNO HONO O BE HAD BEWEEN HESE WO\r\r\r\n\r\r\r\nIf you want political correc…']
[2],['ManOnFire  featured in MusicLovrz WW Magazine June edition PAADISE  ']
[4],['  ☀️ Can Lady Cranfield overcome her traumatic past in the arms of the selfassured Earl of uel\r\r\r\n \r\r\r\n•¨•🧡•¨• \r\r\r\n\r\r\r\n🧡Hot Hi…']
[0],['  You think you know what you want but is it really suited for you So begins the “he Summer of New Beginnings” Heartw…']
[4],['Harry Potter Wizard Chess Set for  retail       \r\r\r\n     \r\r\r\n ']
[2],['  einforcementLearning and DeepLearning — Explained in One Picture with AlphaGo Zero cheat sheet ']
[0],['Preorder Kaws He Eats Alone \r\r\r\n    \r\r\r\n  \r\r\r\n\r\r\r\nNot charged until it ships ']
[0],['Augustus has one last chance If he fails to destroy Edward this time Edward will inherit the whole of creation a… ']
[2],['  My first book just got a brand new cover\r\r\r\nhe original was designed to look similar to ichard Bachs Illusions which unfo…']
[2],['  I was on Amazon just now to read some product reviews and on every page I kept seeing a specific question being asked to…']
[4],['he journey of a damaged woman to someplace normal\r\r\r\n★MY PISON WIHOU BAS★\r\r\r\n🦉 ']
[0],['NYX POFESSIONAL MAKEUP Make Up Setting Spray Matte Finish Bundle with Dewy Finish  Combo\r\r\r\n   \r\r\r\nGet it for … ']
[0],['Bad Blood Secrets and Lies in a Silicon Valley Startup ']
[0],['NYX POFESSIONAL MAKEUP Make Up Setting Spray Matte Finish Bundle with Dewy Finish  Combo\r\r\r\n   \r\r\r\nGet it for … ']
[2],['   Have a Magical Epic Adventure over  pgs of fantasy enchantment  FEE with KindleUnlimited   ht…']
[0],['  Need an amazon video to help boost sales for your product   fiverr selling retail growth…']
[0],['Philips Norelco  Piece Bundle for  almost  off\r\r\r\n\r\r\r\nIf it says temporarily out of stock you can still ord… ']
[2],['💲💰\r\r\r\nApple iPad  GB WiFi ab\r\r\r\neduced from  to \r\r\r\n\r\r\r\n Deals new Deals savings Deal ganga… ']
[0],['Philips Norelco  Piece Bundle for  almost  off\r\r\r\n\r\r\r\n\r\r\r\n\r\r\r\nIf it says temporarily out of… ']
[2],['New Deal\r\r\r\nApple iPad  GB WiFi ab\r\r\r\neduced from  to \r\r\r\n\r\r\r\nDeals newDeals… ']
[4],['Harry Potter Wizard Chess Set for  retail     \r\r\r\n   \r\r\r\n ']
[2],[' Piece Manicure set for \r\r\r\n\r\r\r\n ']
[0],['Need an amazon video to help boost sales for your product   fiverr selling retail… ']
[4],['  wo humbs Out by Peggy Boyd US  UK  My mothers travel memoir Hitchhikin…']
[0],[' I have ordered something but the product is not delivered on time then today I cancel how much days takes t… ']
[4],['  If you like heOA you will love this book\r\r\r\nProbably one of the most unique books I have ever come across”Vallicity…']
[2],['Neville Goddard he Full eader Includes just about all  of Neville Goddards Spiritual imeless classics At Y… ']
[4],['   Here there be magic   YA BookBoost FEE with KindleUnlimited ']
[0],['Get your bed off the floor starting at \r\r\r\n \r\r\r\n Deal ganga\r\r\r\n\r\r\r\n  ']
[0],['Get your bed off the floor starting at \r\r\r\n \r\r\r\n ']
[2],['  BOOK  AWAKENING\r\r\r\nAnd the story begins\r\r\r\nIn the time of Saladin before he hird Crusade an unlikely heroine is born\r\r\r\n♨ ht…']
[4],['  his one is a used copy but from my experience second hand goods from Japan is ex… ']
[2],['  ealitys Veil the Final Frontier\r\r\r\nKU FEE\r\r\r\nAmazons bestseller erotica scifi \r\r\r\nClones gods aliens monsters ménage\r\r\r\n…']
[0],['PracticePadsDeal \r\r\r\n\r\r\r\nBuy  product of Practice Pads category ockon  Inches  Sided Drum Practice Pad  Bag  D… ']
[0],['  MI agent Zoe gives the performance of her life in this fast actionpacked crime thriller  …']
[4],['Catherine the Great Portrait of a Woman ']
[4],['Evolution is a good recommendation to introduce foundational concepts through a contemporary framework of populatio… ']
[4],['  🕯️😮 SENENCED O HEAVEN 😮🕯️Series\r\r\r\n\r\r\r\n\r\r\r\nSo happy with this review\r\r\r\n“I loved every single thing about this…']
[2],['  American Conservatism eclaiming an Intellectual radition edited by Andrew J Bacevich  Books Ess…']
[2],['  Death in Mud Lick A Coal Country Fight against the Drug Companies hat Delivered the Opioid Epidemic by Eric Eyre ']
[2],['  I was on Amazon just now to read some product reviews and on every page I kept seeing a specific question being asked to…']
[4],['he Best Colanders for Straining Pasta insing ice and More  ']
[2],['WILL SELL OU \r\r\r\n\r\r\r\n in  Wireless Charging Dock for  \r\r\r\n \r\r\r\nUse promo code JJX\r\r\r\n\r\r\r\n ']
[0],[' piece Manicure kit  \r\r\r\n \r\r\r\n ']
[2],['  ealitys Veil the Final Frontier\r\r\r\nKU FEE\r\r\r\nAmazons bestseller erotica scifi \r\r\r\nClones gods aliens monsters ménage\r\r\r\n…']
[2],['  he notorious cowboy 🤠 meets his match in\r\r\r\nA MOMEN O LOVE 💙\r\r\r\n💙Kindle US \r\r\r\n💜Kindle UK ']
[4],[' Heres your cloud If youre looking for gift ideas Cloud Bot recommends this… ']
[4],['   Here there be magic   YA BookBoost FEE with KindleUnlimited ']
[2],['  ‘Such an excellent book Love the characters and Katies of style of writing’\r\r\r\n\r\r\r\n💗PADA amp PEJUDICE💗\r\r\r\n\r\r\r\nAmazon US  https…']
[2],['   Have a Magical Epic Adventure over  pgs of fantasy enchantment  FEE with KindleUnlimited   ht…']
