Sentiment,Tweets
[0],[' Amul cream 😃']
[0],['If it wasnt already obvious Biden promising a progressive administration does not extend to American imperialis… ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  his shop Keeper is from Ahmedabad  his Amul store is in front of nandanvan  near hind super market  jodhpur satel…']
[0],['his shop Keeper is from Ahmedabad  his Amul store is in front of nandanvan  near hind super market  jodhpur… ']
[0],['  he two critical ingredients for a great kheer are Love and Amul Gold in that order ry this richer and creamier combo ri…']
[0],['  Good Morning aatmaKHANirbhar India\r\r\r\n\r\r\r\nNo one could say it better than  \r\r\r\n\r\r\r\nWaiting now for the BHAKS to Ban Amul…']
[2],[' AmulCoop he two critical ingredients for a great kheer are Love and Amul Gold in that order ry this riche… ']
[2],['  His fiancee can just dream about Portuguese passport but we should request goa governme… ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],[' you had shared a message sometime ago about direct delivery to society Cannot find it now Do you still have these facilities']
[0],['  Lets make thr Eid day on Eid\r\r\r\n  we needed to distribute Milk at Kalyan itwala Bhiwandi Ambernath and n…']
[2],['he two critical ingredients for a great kheer are Love and Amul Gold in that order ry this richer and creamier… ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['    And while  is at it do let us know what this meaningless certification costs every yea…']
[0],['  Using products already offered to one Deity for worship of another Deity is a gross impropriety as per Hindu Agamas and…']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[4],['      should answer\r\r\r\n\r\r\r\nIf not u will loose consumers like me']
[0],['    I am boycotting all amul products Bye bye amul I will use kmf nandini products from now']
[0],['   If he was ‘Goan’ he wouldn’t need to apply for domicile Jeez Having d… ']
[0],['  Halal is products prepared as per Shariah and offered to Islamic Deity of Allah\r\r\r\n\r\r\r\nhat makes  and any such Ha…']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  Hahahahahahahthat momentwhen memes come out to make light of a situation 😅😂😜 what next he  advt 😂…']
[4],['  Errrr goa is in  india Indian passport is valid in India Which may i remind u agai… ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[4],['  And what next Portuguese passport by taking Goan identity Good luck']
[4],['  Amul Delicious Sachin \r\r\r\nNeed to cheer  has given us many Billboard stories INDvNZ ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],['Sir i need urgent job requirement i live in lucknow any job available please message me thank u ']
[0],['  Please do if it makes u feel better 😂😂😂 Hes been  living here since    years He… ']
[4],['   \r\r\r\nMade best use of lockdown and made advertisement for our favorite company ']
[4],['  How can you enjoy the taste of authentic atnagiri mangoes without leaving home \r\r\r\n\r\r\r\nEasy \r\r\r\n\r\r\r\nJust take a bite of Amul atnagi…']
[0],['  We went to govt hotel quarantine as well Its mandatory till test results come']
[2],['   Check guidelines on Goa govt website before tweeting']
[4],['   amp you are an Portuguese fakeindian']
[4],['  he meme is uzzo']
[0],['  Goodall Goan IDs his is getting interestingAll IDs have to checked how they are ac… ']
[4],[' AmulCoop How can you enjoy the taste of authentic atnagiri mangoes without leaving home \r\r\r\n\r\r\r\nEasy \r\r\r\n\r\r\r\nJust take… ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  How you got home quarantine  Son of soil seafarers  have to go hotel quarantine Did… ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[4],['  Hope you saw all this ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[4],['  Hillarous and admire your spirit']
[4],['Hello fraaands\r\r\r\nIce cream khaa lo  \r\r\r\n\r\r\r\ngovocalforlocal \r\r\r\n\r\r\r\n ']
[0],['Hahahahahahahthat momentwhen memes come out to make light of a situation 😅😂😜 what next he  advt… ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[4],['  How can you enjoy the taste of authentic atnagiri mangoes without leaving home \r\r\r\n\r\r\r\nEasy \r\r\r\n\r\r\r\nJust take a bite of Amul atnagi…']
[0],['      Dear eam  Any issues with your Supply Chain  It seems Bengaluru citiz… ']
[4],['  How can you enjoy the taste of authentic atnagiri mangoes without leaving home \r\r\r\n\r\r\r\nEasy \r\r\r\n\r\r\r\nJust take a bite of Amul atnagi…']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[4],['How can you enjoy the taste of authentic atnagiri mangoes without leaving home \r\r\r\n\r\r\r\nEasy \r\r\r\n\r\r\r\nJust take a bite of… ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['   \r\r\r\nespected Sir \r\r\r\nNot any mask r available at all AMUL parlour till… ']
[4],[' Privilege to hear Dr Unnat Pandit Contribution Case studies from Amul Aarogya Setu app Must hear fo… ']
[4],['  Let Amul Fundoo give your boring day a fruity twist with a sweet berrylicious surprise ']
[0],['  Make memories with your loved ones over scrumptious Amul Kaju Malai Kulfi Cut and share your special Hum um moments with u…']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['  Good Morning aatmaKHANirbhar India\r\r\r\n\r\r\r\nNo one could say it better than  \r\r\r\n\r\r\r\nWaiting now for the BHAKS to Ban Amul…']
[0],[' Dear Mr PMit will better if we make floor mill and ice mill etc in Bihar and UP state like Prod… ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['So the packaged milk being sold under the brand names likes Amul come with added vitamins like vit E amp D \r\r\r\nNow  ma… ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],['  Amul  should explain why it has hidden fact that its products are prepared as per Islamic principles of Shar…']
[2],['his is truly a revelation to most of us We do not know that  has been manufacturing its Amul products… ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  Lets make thr Eid day on Eid\r\r\r\n  we needed to distribute Milk at Kalyan itwala Bhiwandi Ambernath and n…']
[0],['  Lets make thr Eid day on Eid\r\r\r\n  we needed to distribute Milk at Kalyan itwala Bhiwandi Ambernath and n…']
[4],['oday’s Brunch  Spinach and cheese Omelette chicken sausages and Amul Cheese bread spread   food Foodie… ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  Dairy Potential in MithilaBihar\r\r\r\n\r\r\r\nAmul milk cooperative changed the destinies of suiciding farmers in Gujarats Anand dist…']
[4],['  CM  announcement of selling Masks at Amul parlours across Gujarat is an excellent decision as it will…']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],[' Hello  we love Amul Icecream but during lockdown it’s been extremely difficult to source Icecream Is i… ']
[4],['  Heres wishing  a very happy birthday SujoyGhosh ']
[4],['  Heres wishing AdityaChopra a very happy birthday   ']
[2],['  Watch the official trailer of MetroParkQuarantineEdition  \r\r\r\n   ']
[0],['IndiaFightsCarona India only things which can save n keep you away JagooGrahak no modi no ahul will come to sav… ']
[2],['  Here is the trailer of Choked        ']
[0],['   picks ZombielandDoubleap   Snowpiercer and ManhuntUnabomber  Fauda as his favorite movies and sh…']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[4],['great step by Amul ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[4],['  Cant choose between ice cream and chocolate bars Give your sweet tooth the best of both worlds with Amul Chocoberg\r\r\r\nAmul…']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[4],['Amul the taste of India\r\r\r\nik tok the waste of India']
[4],['    Join Amul Facebook Live at  pm today for \r\r\r\n\r\r\r\nSimpleHomemadeecipes by Chef Mo… ']
[0],['    As promised by you when Ns MASK will be available at Amul Parlou… ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  hanks to “Amul” Kurien I suppose']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[4],['  Cant choose between ice cream and chocolate bars Give your sweet tooth the best of both worlds with Amul Chocoberg\r\r\r\nAmul…']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  Lets make thr Eid day on Eid\r\r\r\n  we needed to distribute Milk at Kalyan itwala Bhiwandi Ambernath and n…']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],[' When is the  layer masks and N masks stock being arranged at Gandhinagar outlets']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['he only thing I dont like about Amul cheese is its advertisement amulcheese']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],[' Available at all Amul Stores in Ahmedabad  rupees each and no quantity limitations \r\r\r\n\r\r\r\nN at  rupees']
[4],[' Wow 😲 great 👍 news now PUNIA will get test of Haryana Police AMUL 🤣🤣🤣🤣🤣🤣']
[0],['  he taste of India Amul milk\r\r\r\nhe paste of India Colgate\r\r\r\nhe waste of India Private Agriculture Universities\r\r\r\n\r\r\r\nstopagri…']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  Good Morning aatmaKHANirbhar India\r\r\r\n\r\r\r\nNo one could say it better than  \r\r\r\n\r\r\r\nWaiting now for the BHAKS to Ban Amul…']
[4],[' AmulCoop Cant choose between ice cream and chocolate bars Give your sweet tooth the best of both worlds with… ']
[4],[' AmulCoop Now enjoy Mango and Strawberry season together with tasty Amul Fundoo Super ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],[' We have very limited or no availability of any of the Amul items near our area']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  im hurt too but im always silent']
[4],['  Cant choose between ice cream and chocolate bars Give your sweet tooth the best of both worlds with Amul Chocoberg\r\r\r\nAmul…']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[4],['  Now enjoy Mango and Strawberry season together with tasty Amul Fundoo Super ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],[' Hi Amul  It is not available 😐']
[4],['  Cant choose between ice cream and chocolate bars Give your sweet tooth the best of both worlds with Amul Chocoberg\r\r\r\nAmul…']
[4],['  Cant choose between ice cream and chocolate bars Give your sweet tooth the best of both worlds with Amul Chocoberg\r\r\r\nAmul…']
[2],['ried ordering from Amul for NABAD Park Santa Cruz but all the ice cakes and ice creams are unavailable Amul… ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[2],['  Amul opical Govt economic scheme for boosting economy ']
[0],[' I like all amul ice cream']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[0],['  While the media will promote Kejriwal and Bollywood Uddhav a very simple yet extremely appreciable step by Gujarat CM ']
[4],[' Its outer packing is awesome so choco berg will be mind blowing in taste']
