Sentiment,Tweets
[0],['  Help  OPEN ODE EADY SOCK SICKE NC DEAM WE BOOM🌠\r\r\r\n\r\r\r\n💠 Ukuran cm x cm\r\r\r\n💠 Isi pcs\r\r\r\n💠 Bahan Sticker Chromo\r\r\r\n\r\r\r\n💰…']
[0],['  Help  OPEN ODE EADY SOCK SICKE NC DEAM WE BOOM🌠\r\r\r\n\r\r\r\n💠 Ukuran cm x cm\r\r\r\n💠 Isi pcs\r\r\r\n💠 Bahan Sticker Chromo\r\r\r\n\r\r\r\n💰…']
[0],['  Help  OPEN ODE EADY SOCK SICKE NC DEAM WE BOOM🌠\r\r\r\n\r\r\r\n💠 Ukuran cm x cm\r\r\r\n💠 Isi pcs\r\r\r\n💠 Bahan Sticker Chromo\r\r\r\n\r\r\r\n💰…']
[0],['  Help  OPEN ODE EADY SOCK SICKE NC DEAM WE BOOM🌠\r\r\r\n\r\r\r\n💠 Ukuran cm x cm\r\r\r\n💠 Isi pcs\r\r\r\n💠 Bahan Sticker Chromo\r\r\r\n\r\r\r\n💰…']
[0],['  Help  OPEN ODE EADY SOCK SICKE NC DEAM WE BOOM🌠\r\r\r\n\r\r\r\n💠 Ukuran cm x cm\r\r\r\n💠 Isi pcs\r\r\r\n💠 Bahan Sticker Chromo\r\r\r\n\r\r\r\n💰…']
[0],[' WS  WAN O SELL  HELP  \r\r\r\n\r\r\r\nhi guys im selling my official kpop merch bc im a broke architecture student and… ']
[0],['  Help  OPEN ODE EADY SOCK SICKE NC DEAM WE BOOM🌠\r\r\r\n\r\r\r\n💠 Ukuran cm x cm\r\r\r\n💠 Isi pcs\r\r\r\n💠 Bahan Sticker Chromo\r\r\r\n\r\r\r\n💰…']
[0],['  Help  OPEN ODE EADY SOCK SICKE NC DEAM WE BOOM🌠\r\r\r\n\r\r\r\n💠 Ukuran cm x cm\r\r\r\n💠 Isi pcs\r\r\r\n💠 Bahan Sticker Chromo\r\r\r\n\r\r\r\n💰…']
[0],['Up to  Measham this morning for the LCV sale  lots on offer from vendors including  ']
[0],['  help rt sll acc ini\r\r\r\nk ovo  dana  bca\r\r\r\nzonalelang zonaba zonauang']
[4],['  It’s so so funny watching reactionary right wing commentators not actually intellectually conservative struggle as they…']
[0],['  Help  OPEN ODE EADY SOCK SICKE NC DEAM WE BOOM🌠\r\r\r\n\r\r\r\n💠 Ukuran cm x cm\r\r\r\n💠 Isi pcs\r\r\r\n💠 Bahan Sticker Chromo\r\r\r\n\r\r\r\n💰…']
[0],['  Help  OPEN ODE EADY SOCK SICKE NC DEAM WE BOOM🌠\r\r\r\n\r\r\r\n💠 Ukuran cm x cm\r\r\r\n💠 Isi pcs\r\r\r\n💠 Bahan Sticker Chromo\r\r\r\n\r\r\r\n💰…']
[0],['  Help  OPEN ODE EADY SOCK SICKE NC DEAM WE BOOM🌠\r\r\r\n\r\r\r\n💠 Ukuran cm x cm\r\r\r\n💠 Isi pcs\r\r\r\n💠 Bahan Sticker Chromo\r\r\r\n\r\r\r\n💰…']
[4],['  Excellent article by Lord West in  today He states that new nuclear power stations alongside renewables will…']
[0],['  Help  OPEN ODE EADY SOCK SICKE NC DEAM WE BOOM🌠\r\r\r\n\r\r\r\n💠 Ukuran cm x cm\r\r\r\n💠 Isi pcs\r\r\r\n💠 Bahan Sticker Chromo\r\r\r\n\r\r\r\n💰…']
[0],['  he stunning  are looking to take on an Apprentice Assitant Greenkeeper to join the team in Ascot o apply…']
[4],['  Interested in a career in Arboriculture 🌳\r\r\r\n\r\r\r\n are currently recruiting for an Apprentice ree SurgeonArborist to…']
[0],['BCA Pulse – a record breaking month at BCA in January\r\r\r\n ']
