,Favorite Count,Favorited ,Phone Type,Replied,Retweet Count,Retweeted,Screen Name ,Tweet Created At,Tweet Text,User Location,User Name 
0,0,False,Twitter for iPhone,None,3231,False,darrenmaealzxr,2020-05-21 08:46:50,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,,yé
1,0,False,Twitter for Android,None,0,False,Alexfindom8,2020-05-21 08:46:48,"I have 3 old pairs of stinky and dirty shoes up for sale
50$ - converse
50$ - Adidas
20$ - pimkie
Wouldn't you love… https://t.co/HDxoe4zQlu",,🖤𝓖𝓸𝓭𝓭𝓮𝓼𝓼 𝓐𝓵𝓮𝔁 🖤2.2k
2,0,False,Twitter for Android,None,3231,False,pchrlmgn_rynld,2020-05-21 08:46:33,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,,Charlemaigne
3,0,False,Twitter for Android,None,3231,False,elluuhhxx,2020-05-21 08:46:32,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,"Antipolo City, CALABARZON",əllā🦋
4,0,False,Twitter for Android,None,128,False,artsubin_,2020-05-21 08:46:31,RT @mohaesus: the said “adidas nation rise” https://t.co/pMakSZ4qo9,namorada da @mxsuga_♡,Kah ganhou selca da mina🐧
5,0,False,Twitter for iPhone,None,8,False,JoeyKanda,2020-05-21 08:46:31,RT @De_brightk: You for know say no bro fi dress pass the goat 🐐 #LavaFeels ..the one who hyped Adidas for Ghana here arhhh what are u talk…,,kanda joeyb
6,0,False,Twitter for Android,None,3231,False,LoreinneDeziree,2020-05-21 08:46:25,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,deeennniieeelllleeee,🔸️
7,0,False,Twitter for iPhone,None,3231,False,swaginyewen,2020-05-21 08:46:21,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,"San Narciso, Zambales",!
8,0,False,Twitter for iPhone,None,393,False,DEVILSHOLICv1,2020-05-21 08:46:14,"RT @chicletsclips: CONTEST! 

Want to win an Adidas jersey from which ever team you want? It’s simple follow the steps below and you’re ent…",,Sean 🇺🇸🇮🇪🇮🇹
9,0,False,Twitter for Android,None,128,False,youu_uui,2020-05-21 08:46:09,RT @mohaesus: the said “adidas nation rise” https://t.co/pMakSZ4qo9,,^
10,0,False,Twitter for iPhone,1263389600447451138,0,False,kieranlacon,2020-05-21 08:46:05,@CelticFC @Oedouard22 Announce Adidas strips please 😆,Glasgow,KL67
11,0,False,Twibble.io,None,0,False,WillaiMcClure,2020-05-21 08:46:04,#Adidas #Yeezy #YeezyBoost: Adidas Men's Yeezy Boost 750 Triple Black Kanye West Sneakers BB1839 - Size 12… https://t.co/dRMJMpzb1I,,Willai McClure
12,0,False,Twitter for iPhone,None,3231,False,BondocKaryll,2020-05-21 08:46:00,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,Quezon City,karyll
13,0,False,Twitter for Android,None,3231,False,aleyah_27,2020-05-21 08:46:00,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,𝐛𝐥𝐢𝐧𝐤|𝐦𝐢𝐝𝐳𝐲°,𝐥𝐮𝐧𝐚
14,0,False,Twitter Web App,None,3231,False,_fan_gHourL,2020-05-21 08:45:57,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,,_Sayyy
15,0,False,Twitter for iPhone,1263141563347148805,0,False,F1Kris,2020-05-21 08:45:50,@TerryFoxCanada @adidas Hey @pepsi take them for example! More shoes are made. All I want is just one #bottle of… https://t.co/nwtexGjKwl,Zutphen,𝙺𝚛𝚒𝚜𝚝𝚒𝚊𝚊𝚗 𝙺𝚘𝚔 - 🚜 -
16,0,False,Twitter for Android,None,3234,False,aymayashi,2020-05-21 08:45:47,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,,yashi
17,0,False,Twitter for Android,None,3234,False,graceillarinay,2020-05-21 08:45:45,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,Philippines 🇵🇭,🌹
18,0,False,Twitter for Android,None,592,False,sahabo_salihu,2020-05-21 08:45:28,RT @FootballFactly: Remember this Adidas advert “Jose +10” from 2006?  https://t.co/EST8aI5Nyh,"Yola, Nigeria",Sahaby
19,0,False,Twitter for Android,None,3234,False,buttersscotchh,2020-05-21 08:45:20,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,katunggan poe,𝓚𝓻𝓲𝓼𝓽𝓪❣️
20,1,False,Twitter Web App,1263389348868710400,0,False,arieldalca,2020-05-21 08:45:05,@Thelackadaisic3 Adidas is actually being nice to us 😭 Man City's kit looks like broken china plate 💀,,Ariel #W8nderful
21,0,False,Twitter for iPhone,None,3234,False,jcathyy,2020-05-21 08:44:52,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,,bori
22,0,False,Twitter for Android,None,3234,False,diannysys,2020-05-21 08:44:41,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,"Sariaya, Calabarzon",DIANNE🥀
23,0,False,Twitter for Android,None,17,False,__Gatzby,2020-05-21 08:44:39,"RT @SybilOhema: Winter is here gents. Get your tracksuits and joggers. Adidas joggers $13, Nike tracksuits $20 and Kappa tracksuits $30#men…",Harare,Drogos
24,0,False,Twitter for iPhone,None,393,False,Savagesosa14,2020-05-21 08:44:37,"RT @chicletsclips: CONTEST! 

Want to win an Adidas jersey from which ever team you want? It’s simple follow the steps below and you’re ent…",,Savage_sosa
25,0,False,Twitter for Android,None,0,False,sonnyDK,2020-05-21 08:44:35,How I roll ✌️😎 @adidas #hometeam #3stripes https://t.co/5ZPpY6ObIc,Denmark,itsADane
26,0,False,Twitter for iPhone,None,393,False,AlisonM74446520,2020-05-21 08:44:27,"RT @chicletsclips: CONTEST! 

Want to win an Adidas jersey from which ever team you want? It’s simple follow the steps below and you’re ent…","Dundee, Scotland",Alison Morrison 🥅🏒🥅🏒
27,0,False,Twitter for iPhone,None,3234,False,yzbllgilo,2020-05-21 08:44:27,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,secret,mochii~
28,0,False,Twitter for iPhone,None,194,False,littlemochii,2020-05-21 08:44:22,RT @ultsmx: so like...adidas https://t.co/yhkShlkezq,พิ้คั้บของจ้าวบู,𝒍𝒊𝒕𝒕𝒍𝒆 𝒎𝒐𝒄𝒉𝒊
29,0,False,Twitter for Android,None,194,False,Mourixo1,2020-05-21 08:44:20,"RT @Stuart_PhotoAFC: Can’t believe I’ve never posted this picture, four of my favourite Arsenal players in one of my favourite kits. What a…",Embu,MORRIS M.
30,0,False,Twitter for iPhone,None,3234,False,YallaJoyceeeeee,2020-05-21 08:44:20,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,hmpppp,jessica🌻
31,0,False,Twitter for iPhone,None,393,False,ArildKaggestad,2020-05-21 08:44:08,"RT @chicletsclips: CONTEST! 

Want to win an Adidas jersey from which ever team you want? It’s simple follow the steps below and you’re ent…",Vikersund,Arild E. Kaggestad
32,0,False,Twitter for Android,None,194,False,raucheon,2020-05-21 08:44:03,RT @ultsmx: so like...adidas https://t.co/yhkShlkezq,🐻🐰🐶🐹🐢🐝🐺,𝑳𝒚𝒂𝒏𝒂 𝐌𝐨𝐧𝐛𝐞𝐛𝐞 ♡ stan 7 kings ⋈
33,0,False,Twitter for iPhone,None,128,False,wonhonaesarang,2020-05-21 08:43:59,RT @mohaesus: the said “adidas nation rise” https://t.co/pMakSZ4qo9,MY,𝙖𝙙𝙖.
34,0,False,Twitter for Android,None,3234,False,_krstnjynn,2020-05-21 08:43:47,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,deanna,Kristine
35,0,False,Twitter for Android,None,4,False,UnclebeeOla,2020-05-21 08:43:45,"RT @ShoeGuyOtis: INIKI 🤍🤍🤍🤍

Adidas for the win https://t.co/T0RE1UdHJ6",Dreamland,Abd. Basit Olamide. I sell watches⌚⌚⌚
36,0,False,Twitter for Android,None,3234,False,Stepmagdangal,2020-05-21 08:43:43,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,"Angeles City, Central Luzon",𝓽𝓮𝓹𝓹𝓹
37,0,False,Twitter for iPhone,1263387123693965312,0,False,FarrahiyahAZ,2020-05-21 08:43:33,"All item is 💯Original Legit
Ready Stock
Ellesse Punto M&amp;L (RM120)
Adidas Festival Bag (RM80)
Superdry Pouch Bag (RM… https://t.co/4Fom9q64hv",Kuala Lumpur Federal Territory,FarrahiyahAtikah
38,0,False,Twitter for iPhone,None,592,False,Jesus17em,2020-05-21 08:43:29,RT @FootballFactly: Remember this Adidas advert “Jose +10” from 2006?  https://t.co/EST8aI5Nyh,,Richard Glansberg
39,0,False,Twitter for Android,None,3234,False,crstldbu,2020-05-21 08:43:22,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,dela paz mu,¿
40,0,False,Twitter for iPhone,None,3234,False,ellaMarieA_,2020-05-21 08:43:17,RT @_bestofadidas: Adidas Originals https://t.co/SyzLyaKf59,rizal,Ella Marie Mallari
